Survived,Pclass,Sex,Age,SibSp,Fare
0,3rd,male,22,1,7.25
1,1st,female,38,1,71.2833
1,3rd,female,26,0,7.925
1,1st,female,35,1,53.1
0,3rd,male,35,0,8.05
0,3rd,male,,0,8.4583
0,1st,male,54,0,51.8625
0,3rd,male,2,3,21.075
1,3rd,female,27,0,11.1333
1,2nd,female,14,1,30.0708
1,3rd,female,4,1,16.7
1,1st,female,58,0,26.55
0,3rd,male,20,0,8.05
0,3rd,male,39,1,31.275
0,3rd,female,14,0,7.8542
1,2nd,female,55,0,16
0,3rd,male,2,4,29.125
1,2nd,male,,0,13
0,3rd,female,31,1,18
1,3rd,female,,0,7.225
0,2nd,male,35,0,26
1,2nd,male,34,0,13
1,3rd,female,15,0,8.0292
1,1st,male,28,0,35.5
0,3rd,female,8,3,21.075
1,3rd,female,38,1,31.3875
0,3rd,male,,0,7.225
0,1st,male,19,3,263
1,3rd,female,,0,7.8792
0,3rd,male,,0,7.8958
0,1st,male,40,0,27.7208
1,1st,female,,1,146.5208
1,3rd,female,,0,7.75
0,2nd,male,66,0,10.5
0,1st,male,28,1,82.1708
0,1st,male,42,1,52
1,3rd,male,,0,7.2292
0,3rd,male,21,0,8.05
0,3rd,female,18,2,18
1,3rd,female,14,1,11.2417
0,3rd,female,40,1,9.475
0,2nd,female,27,1,21
0,3rd,male,,0,7.8958
1,2nd,female,3,1,41.5792
1,3rd,female,19,0,7.8792
0,3rd,male,,0,8.05
0,3rd,male,,1,15.5
1,3rd,female,,0,7.75
0,3rd,male,,2,21.6792
0,3rd,female,18,1,17.8
0,3rd,male,7,4,39.6875
0,3rd,male,21,0,7.8
1,1st,female,49,1,76.7292
1,2nd,female,29,1,26
0,1st,male,65,0,61.9792
1,1st,male,,0,35.5
1,2nd,female,21,0,10.5
0,3rd,male,28.5,0,7.2292
1,2nd,female,5,1,27.75
0,3rd,male,11,5,46.9
0,3rd,male,22,0,7.2292
1,1st,female,38,0,80
0,1st,male,45,1,83.475
0,3rd,male,4,3,27.9
0,1st,male,,0,27.7208
1,3rd,male,,1,15.2458
1,2nd,female,29,0,10.5
0,3rd,male,19,0,8.1583
1,3rd,female,17,4,7.925
0,3rd,male,26,2,8.6625
0,2nd,male,32,0,10.5
0,3rd,female,16,5,46.9
0,2nd,male,21,0,73.5
0,3rd,male,26,1,14.4542
1,3rd,male,32,0,56.4958
0,3rd,male,25,0,7.65
0,3rd,male,,0,7.8958
0,3rd,male,,0,8.05
1,2nd,male,0.83,0,29
1,3rd,female,30,0,12.475
0,3rd,male,22,0,9
1,3rd,male,29,0,9.5
1,3rd,female,,0,7.7875
0,1st,male,28,0,47.1
1,2nd,female,17,0,10.5
1,3rd,female,33,3,15.85
0,3rd,male,16,1,34.375
0,3rd,male,,0,8.05
1,1st,female,23,3,263
0,3rd,male,24,0,8.05
0,3rd,male,29,0,8.05
0,3rd,male,20,0,7.8542
0,1st,male,46,1,61.175
0,3rd,male,26,1,20.575
0,3rd,male,59,0,7.25
0,3rd,male,,0,8.05
0,1st,male,71,0,34.6542
1,1st,male,23,0,63.3583
1,2nd,female,34,0,23
0,2nd,male,34,1,26
0,3rd,female,28,0,7.8958
0,3rd,male,,0,7.8958
0,1st,male,21,0,77.2875
0,3rd,male,33,0,8.6542
0,3rd,male,37,2,7.925
0,3rd,male,28,0,7.8958
1,3rd,female,21,0,7.65
1,3rd,male,,0,7.775
0,3rd,male,38,0,7.8958
1,3rd,female,,1,24.15
0,1st,male,47,0,52
0,3rd,female,14.5,1,14.4542
0,3rd,male,22,0,8.05
0,3rd,female,20,1,9.825
0,3rd,female,17,0,14.4583
0,3rd,male,21,0,7.925
0,3rd,male,70.5,0,7.75
0,2nd,male,29,1,21
0,1st,male,24,0,247.5208
0,3rd,female,2,4,31.275
0,2nd,male,21,2,73.5
0,3rd,male,,0,8.05
0,2nd,male,32.5,1,30.0708
1,2nd,female,32.5,0,13
0,1st,male,54,0,77.2875
1,3rd,male,12,1,11.2417
0,3rd,male,,0,7.75
1,3rd,male,24,0,7.1417
1,3rd,female,,1,22.3583
0,3rd,male,45,0,6.975
0,3rd,male,33,0,7.8958
0,3rd,male,20,0,7.05
0,3rd,female,47,1,14.5
1,2nd,female,29,1,26
0,2nd,male,25,0,13
0,2nd,male,23,0,15.0458
1,1st,female,19,0,26.2833
0,1st,male,37,1,53.1
